2017-09-15 11:20:05,559 INFO [main] com.datastax.driver.core.policies.DCAwareRoundRobinPolicy.init(95) | Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
2017-09-15 11:20:05,560 INFO [main] com.datastax.driver.core.Cluster$Manager.init(1568) | New Cassandra host /127.0.0.1:9042 added
2017-09-15 11:20:05,625 INFO [main] cn.gov.cma.cimiss.dpc.ftpserver.DPCFtpServer.startServer(130) | 启动FTP服务器 Fri Sep 15 11:20:05 CST 2017
2017-09-15 11:23:16,267 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(81) | 更新 ftpPort -> 2221
2017-09-15 11:23:16,269 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(86) | 更新 ftpUserName -> dpc
2017-09-15 11:23:16,270 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(92) | 更新 ftpUserPass -> dpcsecret
2017-09-15 11:23:16,271 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(98) | 更新 ftpFilePath -> ftp
2017-09-15 11:23:16,271 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(102) | 更新 decoderThreadMaxNum -> 30
2017-09-15 11:23:16,271 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(105) | 更新 cleanerPeriod -> 12
2017-09-15 11:23:16,271 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(108) | 更新 socketPort -> 8088
2017-09-15 11:23:16,272 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(132) | 更新 ftpClearPeriod -> 48
2017-09-15 11:23:16,272 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(135) | 更新 middleResultPathClearPeriod -> 48
2017-09-15 11:23:16,272 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(138) | 更新 ensembleCacheClearPeriod -> 12
2017-09-15 11:23:16,272 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(141) | 更新 isMasterNode -> true
2017-09-15 11:23:16,272 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(144) | 更新ftpRecoverPeriod -> 1
2017-09-15 11:23:16,273 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(147) | 更新decoderSwitch -> true
2017-09-15 11:23:16,273 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(150) | 更新writeSwitch -> true
2017-09-15 11:23:16,273 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(153) | 更新instantWriteSwitch -> true
2017-09-15 11:23:16,273 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(156) | 更新threadWaitTime -> 30
2017-09-15 11:23:16,284 INFO [main] com.datastax.driver.core.GuavaCompatibility.selectImplementation(132) | Detected Guava >= 19 in the classpath, using modern compatibility layer
2017-09-15 11:23:16,514 INFO [main] com.datastax.driver.core.Native$LibCLoader.<clinit>(115) | Could not load JNR C Library, native system calls through this library will not be available (set this logger level to DEBUG to see the full stack trace).
2017-09-15 11:23:16,514 INFO [main] com.datastax.driver.core.ClockFactory.newInstance(55) | Using java.lang.System clock to generate timestamps.
2017-09-15 11:23:16,596 INFO [main] com.datastax.driver.core.NettyUtil.<clinit>(83) | Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
2017-09-15 11:23:16,960 INFO [main] com.datastax.driver.core.policies.DCAwareRoundRobinPolicy.init(95) | Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
2017-09-15 11:23:16,961 INFO [main] com.datastax.driver.core.Cluster$Manager.init(1568) | New Cassandra host /127.0.0.1:9042 added
2017-09-15 11:23:17,025 INFO [main] cn.gov.cma.cimiss.dpc.ftpserver.DPCFtpServer.startServer(130) | 启动FTP服务器 Fri Sep 15 11:23:17 CST 2017
2017-09-15 11:26:11,250 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(81) | 更新 ftpPort -> 2221
2017-09-15 11:26:11,252 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(86) | 更新 ftpUserName -> dpc
2017-09-15 11:26:11,253 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(92) | 更新 ftpUserPass -> dpcsecret
2017-09-15 11:26:11,253 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(98) | 更新 ftpFilePath -> ftp
2017-09-15 11:26:11,254 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(102) | 更新 decoderThreadMaxNum -> 30
2017-09-15 11:26:11,254 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(105) | 更新 cleanerPeriod -> 12
2017-09-15 11:26:11,254 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readStaticSystemConfig(108) | 更新 socketPort -> 8088
2017-09-15 11:26:11,255 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(132) | 更新 ftpClearPeriod -> 48
2017-09-15 11:26:11,255 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(135) | 更新 middleResultPathClearPeriod -> 48
2017-09-15 11:26:11,255 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(138) | 更新 ensembleCacheClearPeriod -> 12
2017-09-15 11:26:11,255 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(141) | 更新 isMasterNode -> true
2017-09-15 11:26:11,255 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(144) | 更新ftpRecoverPeriod -> 1
2017-09-15 11:26:11,256 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(147) | 更新decoderSwitch -> true
2017-09-15 11:26:11,256 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(150) | 更新writeSwitch -> true
2017-09-15 11:26:11,256 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(153) | 更新instantWriteSwitch -> true
2017-09-15 11:26:11,256 INFO [main] cn.gov.cma.cimiss.dpc.config.DPCConfig.readDynamicSystemConfig(156) | 更新threadWaitTime -> 30
2017-09-15 11:26:11,268 INFO [main] com.datastax.driver.core.GuavaCompatibility.selectImplementation(132) | Detected Guava >= 19 in the classpath, using modern compatibility layer
2017-09-15 11:26:11,495 INFO [main] com.datastax.driver.core.Native$LibCLoader.<clinit>(115) | Could not load JNR C Library, native system calls through this library will not be available (set this logger level to DEBUG to see the full stack trace).
2017-09-15 11:26:11,495 INFO [main] com.datastax.driver.core.ClockFactory.newInstance(55) | Using java.lang.System clock to generate timestamps.
2017-09-15 11:26:11,575 INFO [main] com.datastax.driver.core.NettyUtil.<clinit>(83) | Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
2017-09-15 11:26:11,947 INFO [main] com.datastax.driver.core.policies.DCAwareRoundRobinPolicy.init(95) | Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
2017-09-15 11:26:11,948 INFO [main] com.datastax.driver.core.Cluster$Manager.init(1568) | New Cassandra host /127.0.0.1:9042 added
2017-09-15 11:26:12,021 INFO [main] cn.gov.cma.cimiss.dpc.ftpserver.DPCFtpServer.startServer(130) | 启动FTP服务器 Fri Sep 15 11:26:12 CST 2017
